PMID	title	abstract
22836504	Intramolecular uncoupling of chromophore photoconversion from structural signaling determinants drive mutant phytochrome B photoreceptor to far-red light perception.	The phytochrome (phy) photoreceptor family regulates almost all aspects of plant development in a broad range of light environments including seed germination, onset of the photomorphogenic program in seedling stage, the shade avoidance syndrome in competing plant communities, flowering induction and senescence of adult plants. During evolution two clearly distinct classes of phy-s emerged covering these very different physiological tasks. ( 1)  PhyA is rapidly degraded in its activated state. PhyA functions in controlling seed germination at very low light intensities (very low fluence response, VLFR) and seedling establishment under photosynthetic shade conditions (high irradiance response, HIR) where the far-red portion of the transmitted light to understorey habitats is substantially enhanced. Arabidopsis phyB together with phyC, D and E belongs to the relatively stable sensor class in comparison to the light labile phyA. PhyB functions at all stages of development including seed germination and seedling establishment, mediates classical red/far-red reversible low fluence responses (LFR) as well as red light high irradiance responses, and it is considered to be the dominating phytochrome sensor of its class.
21963675	Progress in understanding and controlling respiratory syncytial virus: still crazy after all these years.	Human respiratory syncytial virus (RSV) is a ubiquitous pathogen that infects everyone worldwide early in life and is a leading cause of severe lower respiratory tract disease in the pediatric population as well as in the elderly and in profoundly immunosuppressed individuals. RSV is an enveloped, nonsegmented negative-sense RNA virus that is classified in Family Paramyxoviridae and is one of its more complex members. Although the replicative cycle of RSV follows the general pattern of the Paramyxoviridae, it encodes additional proteins. Two of these (NS1 and NS2) inhibit the host type I and type III interferon (IFN) responses, among other functions, and another gene encodes two novel RNA synthesis factors (M2-1 and M2-2). The attachment (G) glycoprotein also exhibits unusual features, such as high sequence variability, extensive glycosylation, cytokine mimicry, and a shed form that helps the virus evade neutralizing antibodies. RSV is notable for being able to efficiently infect early in life, with the peak of hospitalization at 2-3 months of age. It also is notable for the ability to reinfect symptomatically throughout life without need for significant antigenic change, although immunity from prior infection reduces disease. It is widely thought that re-infection is due to an ability of RSV to inhibit or subvert the host immune response. Mechanisms of viral pathogenesis remain controversial. RSV is notable for a historic, tragic pediatric vaccine failure involving a formalin-inactivated virus preparation that was evaluated in the 1960s and that was poorly protective and paradoxically primed for enhanced RSV disease. RSV also is notable for the development of a successful strategy for passive immunoprophylaxis of high-risk infants using RSV-neutralizing antibodies. Vaccines and new antiviral drugs are in pre-clinical and clinical development, but controlling RSV remains a formidable challenge.
26133087	Probabilistic Analysis of Localized DNA Hybridization Circuits.	Molecular devices made of nucleic acids can perform complex information processing tasks at the nanoscale, with potential applications in biofabrication and smart therapeutics. However, limitations in the speed and scalability of such devices in a well-mixed setting can significantly affect their performance. In this article, we propose designs for localized circuits involving DNA molecules that are arranged on addressable substrates and interact via hybridization reactions. We propose designs for localized elementary logic circuits, which we compose to produce more complex devices, including a circuit for computing the square root of a four bit number. We develop an efficient method for probabilistic model checking of localized circuits, which we implement within the Visual DSD design tool. We use this method to prove the correctness of our circuits with respect to their functional specifications and to analyze their performance over a broad range of local rate parameters. Specifically, we analyze the extent to which our localized designs can overcome the limitations of well-mixed circuits, with respect to speed and scalability. To provide an estimate of local rate parameters, we propose a biophysical model of localized hybridization. Finally, we use our analysis to identify constraints in the rate parameters that enable localized circuits to retain their advantages in the presence of unintended interferences between strands.
28002450	Seeing It All: Evaluating Supervised Machine Learning Methods for the Classification of Diverse Otariid Behaviours.	Constructing activity budgets for marine animals when they are at sea and cannot be directly observed is challenging, but recent advances in bio-logging technology offer solutions to this problem. Accelerometers can potentially identify a wide range of behaviours for animals based on unique patterns of acceleration. However, when analysing data derived from accelerometers, there are many statistical techniques available which when applied to different data sets produce different classification accuracies. We investigated a selection of supervised machine learning methods for interpreting behavioural data from captive otariids (fur seals and sea lions). We conducted controlled experiments with 12 seals, where their behaviours were filmed while they were wearing 3-axis accelerometers. From video we identified 26 behaviours that could be grouped into one of four categories (foraging, resting, travelling and grooming) representing key behaviour states for wild seals. We used data from 10 seals to train four predictive classification models: stochastic gradient boosting (GBM), random forests, support vector machine using four different kernels and a baseline model: penalised logistic regression. We then took the best parameters from each model and cross-validated the results on the two seals unseen so far. We also investigated the influence of feature statistics (describing some characteristic of the seal), testing the models both with and without these. Cross-validation accuracies were lower than training accuracy, but the SVM with a polynomial kernel was still able to classify seal behaviour with high accuracy (>70%). Adding feature statistics improved accuracies across all models tested. Most categories of behaviour -resting, grooming and feeding-were all predicted with reasonable accuracy (52-81%) by the SVM while travelling was poorly categorised (31-41%). These results show that model selection is important when classifying behaviour and that by using animal characteristics we can strengthen the overall accuracy.
28197155	Dissecting the Biochemical and Transcriptomic Effects of a Locally Applied Heat Treatment on Developing Cabernet Sauvignon Grape Berries.	Reproductive development of grapevine and berry composition are both strongly influenced by temperature. To date, the molecular mechanisms involved in grapevine berries response to high temperatures are poorly understood. Unlike recent data that addressed the effects on berry development of elevated temperatures applied at the whole plant level, the present work particularly focuses on the fruit responses triggered by direct exposure to heat treatment (HT). In the context of climate change, this work focusing on temperature effect at the microclimate level is of particular interest as it can help to better understand the consequences of leaf removal (a common viticultural practice) on berry development. HT (+ 8°C) was locally applied to clusters from Cabernet Sauvignon fruiting cuttings at three different developmental stages (middle green, veraison and middle ripening). Samples were collected 1, 7, and 14 days after treatment and used for metabolic and transcriptomic analyses. The results showed dramatic and specific biochemical and transcriptomic changes in heat exposed berries, depending on the developmental stage and the stress duration. When applied at the herbaceous stage, HT delayed the onset of veraison. Heating also strongly altered the berry concentration of amino acids and organic acids (e.g., phenylalanine, γ-aminobutyric acid and malate) and decreased the anthocyanin content at maturity. These physiological alterations could be partly explained by the deep remodeling of transcriptome in heated berries. More than 7000 genes were deregulated in at least one of the nine experimental conditions. The most affected processes belong to the categories "stress responses," "protein metabolism" and "secondary metabolism," highlighting the intrinsic capacity of grape berries to perceive HT and to build adaptive responses. Additionally, important changes in processes related to "transport," "hormone" and "cell wall" might contribute to the postponing of veraison. Finally, opposite effects depending on heating duration were observed for genes encoding enzymes of the general phenylpropanoid pathway, suggesting that the HT-induced decrease in anthocyanin content may result from a combination of transcript abundance and product degradation.
27038686	Independent Analysis of Albumin-Bilirubin Grade in a 765-Patient Cohort Treated with Transarterial Locoregional Therapy for Hepatocellular Carcinoma.	PURPOSE: To assess validity of albumin-bilirubin (ALBI) grade as a predictor of survival in patients undergoing transarterial embolization for hepatocellular carcinoma. MATERIALS AND METHODS: Baseline albumin and bilirubin values of 765 consecutive patients treated with conventional transarterial chemoembolization or yttrium-90 ((90)Y) radioembolization at a single institution were used to determine liver function according to ALBI grade. Survival outcomes were stratified by ALBI grade using Kaplan-Meier and stratified by Child-Pugh (C-P) class and Barcelona Clinic Liver Cancer (BCLC) stage. Discriminatory ability was assessed by C-index. RESULTS: For 428 patients receiving (90)Y radioembolization, ALBI grade yielded distinct survival curves (P < .001). When stratified by C-P class and BCLC stage, ALBI grade revealed different survival outcomes for C-P B (P = .001), BCLC A (P < .001), BCLC B (P = .001), and BCLC C (P < .001). When substratified by BCLC stage, ALBI grade was a better discriminator of survival than C-P class (C-index 0.792, 0.763, respectively). For 337 patients receiving transarterial chemoembolization, ALBI grade yielded distinct survival curves (P < .001). When stratified by C-P class and BCLC stage, ALBI grade provided distinct survival curves for C-P B (P = .02), BCLC B (P = .001), and BCLC C (P = .02). When substratified by BCLC stage, ALBI grade was a better discriminator of survival than C-P class (C-index 0.739, 0.735, respectively). CONCLUSIONS: ALBI grade outperforms C-P class at discriminating survival in patients receiving transarterial chemoembolization or (90)Y radioembolization. ALBI grade is also valuable in patients with moderate liver dysfunction and BCLC B disease.
28939558	Targeting the MAPK Signaling Pathway in Cancer: Promising Preclinical Activity with the Novel Selective ERK1/2 Inhibitor BVD-523 (Ulixertinib).	Aberrant activation of signaling through the RAS-RAF-MEK-ERK (MAPK) pathway is implicated in numerous cancers, making it an attractive therapeutic target. Although BRAF and MEK-targeted combination therapy has demonstrated significant benefit beyond single-agent options, the majority of patients develop resistance and disease progression after approximately 12 months. Reactivation of ERK signaling is a common driver of resistance in this setting. Here we report the discovery of BVD-523 (ulixertinib), a novel, reversible, ATP-competitive ERK1/2 inhibitor with high potency and ERK1/2 selectivity. In vitro BVD-523 treatment resulted in reduced proliferation and enhanced caspase activity in sensitive cells. Interestingly, BVD-523 inhibited phosphorylation of target substrates despite increased phosphorylation of ERK1/2. In in vivo xenograft studies, BVD-523 showed dose-dependent growth inhibition and tumor regression. BVD-523 yielded synergistic antiproliferative effects in a BRAFV600E-mutant melanoma cell line xenograft model when used in combination with BRAF inhibition. Antitumor activity was also demonstrated in in vitro and in vivo models of acquired resistance to single-agent and combination BRAF/MEK-targeted therapy. On the basis of these promising results, these studies demonstrate BVD-523 holds promise as a treatment for ERK-dependent cancers, including those whose tumors have acquired resistance to other treatments targeting upstream nodes of the MAPK pathway. Assessment of BVD-523 in clinical trials is underway (NCT01781429, NCT02296242, and NCT02608229). Mol Cancer Ther; 16(11); 2351-63. ©2017 AACR.
28779435	Acute gastroenteritis in primary care: a longitudinal study in the Swiss Sentinel Surveillance Network, Sentinella.	PURPOSE: Acute gastroenteritis (AG) leads to considerable burden of disease, health care costs and socio-economic impact worldwide. We assessed the frequency of medical consultations and work absenteeism due to AG at primary care level, and physicians' case management using the Swiss Sentinel Surveillance Network "Sentinella". METHODS: During the 1-year, longitudinal study in 2014, 172 physicians participating in "Sentinella" reported consultations due to AG including information on clinical presentation, stool diagnostics, treatment, and work absenteeism. RESULTS: An incidence of 2146 first consultations due to AG at primary care level per 100,000 inhabitants in Switzerland was calculated for 2014 based on reported 3.9 thousand cases. Physicians classified patients' general condition at first consultation with a median score of 7 (1 = poor, 10 = good). The majority (92%) of patients received dietary recommendations and/or medical prescriptions; antibiotics were prescribed in 8.5%. Stool testing was initiated in 12.3% of cases; more frequently in patients reporting recent travel. Among employees (15-64 years), 86.3% were on sick leave. Median duration of sick leave was 4 days. CONCLUSIONS: The burden of AG in primary care is high and comparable with that of influenza-like illness (ILI) in Switzerland. Work absenteeism is substantial, leading to considerable socio-economic impact. Mandatory infectious disease surveillance underestimates the burden of AG considering that stool testing is not conducted routinely. While a national strategy to reduce the burden of ILI exists, similar comprehensive prevention efforts should be considered for AG.
23782943	Androgens increase survival of adult-born neurons in the dentate gyrus by an androgen receptor-dependent mechanism in male rats.	Gonadal steroids are potent regulators of adult neurogenesis. We previously reported that androgens, such as testosterone (T) and dihydrotestosterone (DHT), but not estradiol, increased the survival of new neurons in the dentate gyrus of the male rat. These results suggest androgens regulate hippocampal neurogenesis via the androgen receptor (AR). To test this supposition, we examined the role of ARs in hippocampal neurogenesis using 2 different approaches. In experiment 1, we examined neurogenesis in male rats insensitive to androgens due to a naturally occurring mutation in the gene encoding the AR (termed testicular feminization mutation) compared with wild-type males. In experiment 2, we injected the AR antagonist, flutamide, into castrated male rats and compared neurogenesis levels in the dentate gyrus of DHT and oil-treated controls. In experiment 1, chronic T increased hippocampal neurogenesis in wild-type males but not in androgen-insensitive testicular feminization mutation males. In experiment 2, DHT increased hippocampal neurogenesis via cell survival, an effect that was blocked by concurrent treatment with flutamide. DHT, however, did not affect cell proliferation. Interestingly, cells expressing doublecortin, a marker of immature neurons, did not colabel with ARs in the dentate gyrus, but ARs were robustly expressed in other regions of the hippocampus. Together these studies provide complementary evidence that androgens regulate adult neurogenesis in the hippocampus via the AR but at a site other than the dentate gyrus. Understanding where in the brain androgens act to increase the survival of new neurons in the adult brain may have implications for neurodegenerative disorders.
29700541	Micromechanical characterization of soft, biopolymeric hydrogels: stiffness, resilience, and failure.	Detailed understanding of the local structure-property relationships in soft biopolymeric hydrogels can be instrumental for applications in regenerative tissue engineering. Resilin-like polypeptide (RLP) hydrogels have been previously demonstrated as useful biomaterials with a unique combination of low elastic moduli, excellent resilience, and cell-adhesive properties. However, comprehensive mechanical characterization of RLP hydrogels under both low-strain and high-strain conditions has not yet been conducted, despite the unique information such measurements can provide about the local structure and macromolecular behavior underpinning mechanical properties. In this study, mechanical properties (elastic modulus, resilience, and fracture initiation toughness) of equilibrium swollen resilin-based hydrogels were characterized via oscillatory shear rheology, small-strain microindentation, and large-strain puncture tests as a function of polypeptide concentration. These methods allowed characterization, for the first time, of the resilience and failure in hydrogels with low polypeptide concentrations (<20 wt%), as the employed methods obviate the handling difficulties inherent in the characterization of such soft materials via standard mechanical techniques, allowing characterization without any special sample preparation and requiring minimal volumes (as low as 50 μL). Elastic moduli measured from small-strain microindentation showed good correlation with elastic storage moduli obtained from oscillatory shear rheology at a comparable applied strain rate, and evaluation of multiple loading-unloading cycles revealed decreased resilience values at lower hydrogel concentrations. In addition, large-strain indentation-to-failure (or puncture) tests were performed to measure large-strain mechanical response and fracture toughness on length scales similar to biological cells (∼10-50 μm) at various polypeptide concentrations, indicating very high fracture initiation toughness for high-concentration hydrogels. Our results establish the utility of employing microscale mechanical methods for the characterization of the local mechanical properties of biopolymeric hydrogels of low concentrations (<20 wt%), and show how the combination of small and large-strain measurements can provide unique insight into structure-property relationships for biopolymeric elastomers. Overall, this study provides new insight into the effects on local mechanical properties of polypeptide concentration near the overlap polymer concentration c* for resilin-based hydrogels, confirming their unique elastomeric features for applications in regenerative medicine.
