PMID	title	abstract
10869235	SNPing away at complex diseases: analysis of single-nucleotide polymorphisms around APOE in Alzheimer disease.	There has been great interest in the prospects of using single-nucleotide polymorphisms (SNPs) in the search for complex disease genes, and several initiatives devoted to the identification and mapping of SNPs throughout the human genome are currently underway. However, actual data investigating the use of SNPs for identification of complex disease genes are scarce. To begin to look at issues surrounding the use of SNPs in complex disease studies, we have initiated a collaborative SNP mapping study around APOE, the well-established susceptibility gene for late-onset Alzheimer disease (AD). Sixty SNPs in a 1.5-Mb region surrounding APOE were genotyped in samples of unrelated cases of AD, in controls, and in families with AD. Standard tests were conducted to look for association of SNP alleles with AD, in cases and controls. We also used family-based association analyses, including recently developed methods to look for haplotype association. Evidence of association (P</=.05) was identified for 7 of 13 SNPs, including the APOE-4 polymorphism, spanning 40 kb on either side of APOE. As expected, very strong evidence for association with AD was seen for the APOE-4 polymorphism, as well as for two other SNPs that lie <16 kb from APOE. Haplotype analysis using family data increased significance over that seen in single-locus tests for some of the markers, and, for these data, improved localization of the gene. Our results demonstrate that associations can be detected at SNPs near a complex disease gene. We found that a high density of markers will be necessary in order to have a good chance of including SNPs with detectable levels of allelic association with the disease mutation, and statistical analysis based on haplotypes can provide additional information with respect to tests of significance and fine localization of complex disease genes.
14621724	Cytomegalovirus (CMV) excretion as a factor in the severity of CMV disease in kidney and simultaneous kidney and pancreas transplantation.	The aim of the study was to evaluate the virological parameters associated with the severity of cytomegalovirus (CMV) disease in renal and simultaneous renal and pancreatic transplantation. The association of the viral profile and the severity of the viral disease was analysed taking into account different confounding variables susceptible to linkage with the severity of the CMV infection and the viral parameters. All the patients transplanted between 1 January 1989 and 31 December 1990, a total of 242, were prospectively followed by viral cultures in blood and urine and by serological methods using the detection of CMV-specific IgM and the complement fixation (CF) test. The samples were taken systematically each week for the first month and then at day 90, 180 and every 6 months and also in cases of clinical manifestations related to viral disease. CMV infection was diagnosed virologically by the presence of viraemia, viruria, IgM, or a significant rise in CMV antibody titre in CF. CMV disease was classified as asymptomatic, mild (fever and/or leukopenia), moderate (fever, leukopenia and liver abnormalities), severe (CMV pneumopathy and/or gastrointestinal disease) or fatal. The incidence of CMV infection was 65% (157/242): 32% asymptomatic, 36% mild, 30% moderate and 2% severe. The presence of IgM was associated with the severity of CMV disease: 51.4% of moderate and severe CMV infections in the group with IgM versus only 16% in the group without IgM (P < 0.0001). The risk of having severe or moderate CMV disease was 3.28 times higher in patients with positive IgM. However the serological changes in CF were not significantly associated with the severity of the viral disease since 34.6% of the patients with CF changes had a severe form versus 20.8% in the group without CF modification. Viruria was significantly associated with moderate or severe infection: 43.6% of the patients with viruria had severe infection versus only 12.5% in the patients without viruria (P < 0.0002). The risk of having moderate or severe CMV disease was 3.48 times higher in the patients with viruria. Viraemia was also associated with more severe CMV infection: 48.6% of moderate or severe CMV infection in the group of patients with viraemia versus 19% in the group without viraemia (P < 0.0001). The risk of having severe or moderate CMV infection was 2.58 times higher in the patients with viraemia. Viraemia was not more associated with severe CMV infection than viruria. Using the maximum likelihood ratio method and the logistic regression model, CMV-specific IgM, viruria and viraemia were each shown to be associated with the severity of CMV disease and the addition of one parameter to the other(s), whatever the type (except the CF changes) and whatever the order of this addition, did not remove the link between the severity and IgM, viruria and viremia. The incidence of severe and moderate CMV disease increased with the number of positive viral parameters (PVP) from 2% of moderate and severe infections in the group with one PVP, to 28% in the group with two PVP, to 39% in the group with three PVP and 68% in the group with four PVP (trend, 35.95; P < 0.0001). Taking the absolute risk of the group of patients without IgM, viruria or viraemia as the basal level, the observed relative risk of severe CMV infection varied from 6.45 in the group with positive IgM without viruria or viraemia, to 10.74 in the group with positive IgM and viruria without viraemia and to 22.5 in the group with the three positive parameters IgM, viruria and viraemia. The different potential confounding factors (recipient and donor serology, renal or renal and pancreatic transplantation, DR compatibility, rejection before CMV infection) did not modify the link between the viral profile and the severity of CMV disease. This study suggests that the severity of CMV disease might be linked to the overspread of the virus as well as to the consequences of a CMV-specific humoral immune response.
8644457	Prevalence of specific anti-Cryptosporidium IgG, IgM and IgA antibodies in cat sera using an indirect immunofluorescence antibody test.	Sera from 258 healthy and sick domestic and feral cats were screened for specific anti-Cryptosporidium antibodies using an indirect immunofluorescence antibody test (IFA). Sera were positive for IgG, IgM and IgA antibodies in 192 (74%), 84 (32%) and 67 (26%) samples, respectively. Antibody was not detected at dilutions of 1:10 and 1:20 or greater in any of eight specific pathogen-free kittens. IgM and IgA antibody classes were more prevalent in sick than in healthy domestic cats. The presence of IgM and/or IgA antibodies indicated early infection. However, these antibody classes were present in sera from cats either positive or negative for Cryptosporidium infection by faecal examination. Pronounced polar fluorescence was observed in the sporozoites in positive samples under fluorescence microscopy. The higher prevalence of specific anti-Cryptosporidium antibodies and the absence of Cryptosporidium oocysts in faecal samples from some IFA-positive animals suggests that detection of these antibodies in sera from cats could be helpful for the diagnosis of feline cryptosporidiosis.
12514215	Genetic modulation of tau phosphorylation in the mouse.	The axonal microtubule stabilizing protein tau is hyperphosphorylated in several neurodegenerative conditions, including Alzheimer's disease, yet the genes that regulate tau phosphorylation are largely unknown. Disabled-1 (Dab1) is a cytoplasmic adapter protein that interacts with apolipoprotein E (ApoE) receptors and controls neuronal positioning during embryonic brain development. We have investigated the role of Dab1 in tau phosphorylation. We found that wild-type Dab1, but not a mutant lacking tyrosine phosphorylation sites, protects mice from the hyperphosphorylation of tau. However, the absence of Dab1 is not sufficient to cause tau hyperphosphorylation, because hyperphosphorylation is manifested only when Dab1 is mutated in specific mouse strain backgrounds. Tau hyperphosphorylation correlates with early death in susceptible mouse strains, and it occurs in the neurons of the hippocampus and dentate gyrus. By quantitative trait locus (QTL) analysis of Dab1-deficient mice on a hybrid strain background, we uncovered one significant and three suggestive chromosomal loci that modulate tau phosphorylation. Two of these QTL regions contain genes that are defective in early onset Alzheimer's disease. Our findings suggest that Dab1 gene disruption sensitizes mice to tau hyperphosphorylation contingent on specific haplotypes that are linked to Alzheimer's disease loci. Dab1 mutant mice provide an animal model for studying the relationships between ApoE receptors, tau hyperphosphorylation, and Alzheimer's disease.
11583633	Molecular mechanisms mediating methylation-dependent silencing of ribosomal gene transcription.	Epigenetic control mechanisms silence about half of ribosomal RNA genes (rDNA) in metabolically active cells. In the mouse, 40% of rDNA repeats are methylated and can be activated by 5-azacytidine treatment. In exploring the effect of methylation on rDNA transcription, we found that methylation of a single CpG dinucleotide within the upstream control element of the rDNA promoter (at -133) abrogates rDNA transcription both in transfection experiments and in in vitro assays using chromatin templates. Chromatin immunoprecipitation assays demonstrate that methylation of the cytosine at -133 inhibits binding of the transcription factor UBF to nucleosomal rDNA, thereby preventing initiation complex formation. Thus, methylation may be a mechanism to inactivate rDNA genes and propagate transcriptional silencing through cell division.
9648104	Culture methods for selective growth of normal rat and human Schwann cells.	Beginning with an introduction of the Schwann cell itself, this chapter provides detailed methodology for growing pure Schwann cells of rat and human origin in serum-free medium without complicated cell purification schemes. Section II lists the essential preexperiment preparations such as materials, instruments, tissue culture medium, and solutions. Section III begins with the procedure for the dissection of embryonic dorsal root ganglia (DRG) from E14-E15 rat embryos, neonatal rats, and adult rats with diagrams; methods for enzymatic dissociation of the DRGs and the initiation of primary culture follow. A description of primary cultures with photographs is also provided for comparison. This section ends with a protocol for and results expected of serial passaging of rat Schwann cells. Section IV carefully describes the culture of Schwann cells from human adult nerve biopsy, a procedure that produces a thousandfold expansion of human Schwann cells within a month from initial plating. In the last section, basic immunocytochemistry as well as advanced in vitro remyelination techniques are provided for biochemical and functional characterization of Schwann cell cultures.
12209019	Comparison of different labeling methods for two-channel high-density microarray experiments.	In this report we evaluate three methods for labeling nucleic acids to be hybridized to a cDNA microarray: direct labeling, indirect amino-allyl labeling, and the dendrimer labeling method (Genisphere). The dendrimer method requires the smallest quantity of sample, 2.5 microg of total RNA compared with 20 microg with the direct or indirect methods. Therefore, we wanted to know whether the performance of the dendrimer method is comparable to the other methods, or whether significant information is lost. Performance can be considered in terms of sensitivity, dynamic range, and reproducibility of the quantitative signals for gene intensity. We compared the three labeling methods by generating three sets of eight self-to-self hybridizations using the same total RNA sample in all cases ("replicate study"). In our analysis, we controlled for the effects of print-tip and background subtraction biases. We also performed a smaller study, namely, a dilution series study with five dilution points per labeling method, to evaluate one aspect of predictive ability. From the replicate study, the dendrimer method appeared to perform as well, and often better, with respect to reproducibility and ability to detect expression. However, in the dilution series study, this method was outperformed by the other two in terms of predictive ability and did not perform very well. These findings are helping to guide our decisions on what labeling method to use for subsequent studies, based on the purpose of a specific study and its limitations in terms of available material.
10655498	Toward a protein-protein interaction map of the budding yeast: A comprehensive system to examine two-hybrid interactions in all possible combinations between the yeast proteins.	Protein-protein interactions play pivotal roles in various aspects of the structural and functional organization of the cell, and their complete description is indispensable to thorough understanding of the cell. As an approach toward this goal, here we report a comprehensive system to examine two-hybrid interactions in all of the possible combinations between proteins of Saccharomyces cerevisiae. We cloned all of the yeast ORFs individually as a DNA-binding domain fusion ("bait") in a MATa strain and as an activation domain fusion ("prey") in a MATalpha strain, and subsequently divided them into pools, each containing 96 clones. These bait and prey clone pools were systematically mated with each other, and the transformants were subjected to strict selection for the activation of three reporter genes followed by sequence tagging. Our initial examination of approximately 4 x 10(6) different combinations, constituting approximately 10% of the total to be tested, has revealed 183 independent two-hybrid interactions, more than half of which are entirely novel. Notably, the obtained binary data allow us to extract more complex interaction networks, including the one that may explain a currently unsolved mechanism for the connection between distinct steps of vesicular transport. The approach described here thus will provide many leads for integration of various cellular functions and serve as a major driving force in the completion of the protein-protein interaction map.
11934887	The human papillomavirus 16 E6 protein binds to tumor necrosis factor (TNF) R1 and protects cells from TNF-induced apoptosis.	High risk strains of human papillomavirus (HPV), such as HPV 16, cause human cervical carcinoma. The E6 protein of HPV 16 mediates the rapid degradation of p53, although this is not the only function of E6 and cannot completely explain its transforming potential. Previous work in our laboratory has demonstrated that transfection of HPV 16 E6 into the tumor necrosis factor (TNF)-sensitive LM cell line protects expressing cells from TNF-induced apoptosis in a p53-independent manner, and the purpose of this study was to determine the molecular mechanism underlying this protection. Caspase 3 and caspase 8 activation were significantly reduced in E6-expressing cells, indicating that E6 acts early in the TNF apoptotic pathway. In fact, E6 binds directly to TNF R1, as shown both by co-immunoprecipitation and mammalian two-hybrid approaches. E6 requires the same C-terminal portion of TNF R1 for binding as does TNF R1-associated death domain, and TNF R1/TNF R1-associated death domain interactions are decreased in the presence of E6. HA-E6 also blocked cell death triggered by transfection of the death domain of TNF R1. Together, these results provide strong support for a model in which HPV E6 binding to TNF R1 interferes with formation of the death-inducing signaling complex and thus with transduction of proapoptotic signals. They also demonstrate that HPV, like several other viruses, has developed a method for evading the TNF-mediated host immune response.
11389480	Microarrays in brain research: the good, the bad and the ugly.	Making sense of microarray data is a complex process, in which the interpretation of findings will depend on the overall experimental design and judgement of the investigator performing the analysis. As a result, differences in tissue harvesting, microarray types, sample labelling and data analysis procedures make post hoc sharing of microarray data a great challenge. To ensure rapid and meaningful data exchange, we need to create some order out of the existing chaos. In these ground-breaking microarray standardization and data sharing efforts, NIH agencies should take a leading role
